"","Jahr","TagezumStichtag"
"13200",2012,12
"13296",2012,13
"13529",2012,27
"13583",2012,19
"13605",2012,11
"13724",2012,7
"13754",2012,4
"13868",2012,11
"13882",2011,5
"13903",2012,18
"14058",2012,15
"14060",2012,28
"14075",2012,6
"14307",2012,17
"14315",2012,3
"14486",2012,195
"14577",2012,29
"14579",2012,4
"14588",2012,485
"14607",2012,18
"14816",2012,5
"14871",2012,9
"15136",2012,25
"15188",2012,52
"15189",2012,33
"15190",2012,48
"15195",2012,82
"15208",2012,12
"15234",2012,29
"15282",2012,40
"15283",2012,70
"15327",2012,4
"15334",2012,121
"15369",2012,32
"15370",2012,66
"15371",2012,56
"15372",2012,101
"15421",2012,89
"15576",2012,34
"15583",2012,6
"15609",2012,4
"15634",2012,76
"15804",2012,20
"15817",2012,29
"15852",2012,80
"15853",2012,77
"15854",2012,64
"15945",2012,5
"15991",2012,9
"16093",2012,7
"16124",2012,183
"16141",2012,1
"16175",2012,31
"16176",2012,87
"16229",2012,10
"16294",2012,95
"16295",2012,109
"16328",2012,30
"16487",2010,20
"16549",2012,46
"16612",2012,5
"16691",2012,29
"16779",2012,120
"17157",2012,6
"17213",2012,68
"17253",2012,4
"17324",2012,305
"17368",2012,59
"17778",2012,82
"17779",2012,96
"17780",2012,68
"17786",2012,44
"17980",2012,79
"18063",2012,69
"18064",2012,101
"18071",2012,61
"18173",2012,84
"18174",2012,31
"18175",2012,57
"18261",2012,59
"18262",2012,49
"18263",2012,80
"18305",2012,56
"18306",2012,65
"18307",2012,80
"18308",2012,92
"18313",2012,47
"18314",2012,49
"18461",2012,45
"18462",2012,72
"18649",2012,55
"18650",2012,114
"18651",2012,33
"18752",2013,475
"19115",2012,95
"19116",2012,55
"19176",2012,48
"19322",2012,47
"19466",2012,80
"19467",2012,44
"20114",2012,117
"20159",2012,95
"20165",2012,42
"20166",2012,37
"20358",2012,71
"20359",2012,34
"20504",2012,41
"20698",2012,64
"20699",2012,84
"21120",2012,203
"21152",2012,262
"21280",2012,7
"21308",2012,21
"21339",2012,287
"21669",2012,113
"21675",2012,39
"21676",2012,86
"21684",2012,60
"21706",2012,12
"21748",2012,32
"21795",2012,77
"22202",2012,79
"22257",2012,10
"22264",2012,28
"22265",2012,2
"22266",2012,15
"22270",2012,28
"22343",2012,29
"22510",2012,4
"22648",2012,28
"22699",2012,35
"22707",2012,4
"22806",2012,40
"22807",2012,100
"22834",2012,10
"23339",2012,88
"23343",2012,28
"23575",2012,2
"23579",2012,8
"23758",2012,25
"23763",2012,20
"23769",2012,1
"23861",2012,19
"23883",2012,15
"23885",2012,30
"25286",2012,12
"25402",2012,13
"25554",2012,4
"25610",2012,6
"25615",2012,29
"25777",2012,15
"26412",2011,214
"26413",2011,226
"26456",2012,103
"26629",2012,120
"26636",2012,30
"26637",2012,23
"26729",2012,86
"26730",2012,40
"26893",2012,14
"26981",2012,46
"27172",2012,27
"27984",2013,121
"28052",2013,238
"28201",2011,180
"28204",2013,45
"28319",2012,55
"28320",2012,39
"28321",2012,92
"28396",2013,5
"28585",2013,21
"28625",2013,28
"28650",2013,126
"28710",2012,74
"28798",2013,300
"28823",2013,48
"28906",2013,30
"28939",2013,100
"28943",2013,16
"28949",2013,22
"29156",2013,80
"29345",2013,7
"29367",2013,146
"29501",2013,23
"29621",2013,6
"29636",2013,20
"29668",2013,37
"29700",2013,69
"29707",2013,29
"29771",2013,81
"29810",2013,44
"29912",2013,22
"30011",2013,18
"30013",2013,20
"30033",2013,1
"30053",2013,18
"30061",2013,3
"30130",2011,8
"30260",2013,16
"30293",2013,126
"30367",2013,11
"30436",2013,27
"30522",2013,40
"30535",2013,18
"30656",2013,50
"30692",2013,5
"30823",2013,34
"30839",2013,329
"30911",2013,258
"31050",2013,486
"31269",2013,156
"31331",2013,30
"31351",2013,140
"31425",2013,197
"31473",2011,90
"31485",2013,7
"31534",2013,11
"31543",2013,17
"31619",2013,31
"31635",2013,98
"31644",2013,38
"31791",2013,83
"31820",2013,17
"31833",2013,17
"31939",2013,254
"31998",2013,79
"32158",2013,23
"32165",2013,8
"32211",2013,13
"32394",2013,26
"32438",2013,113
"32664",2013,85
"32725",2013,13
"32830",2013,43
"32866",2013,34
"32874",2013,29
"32901",2013,118
"33011",2013,47
"33063",2012,21
"33183",2013,121
"33306",2014,92
"33488",2012,37
"33698",2013,19
"33704",2013,56
"33731",2013,18
"33925",2013,28
"34028",2013,9
"34038",2013,43
"34053",2013,258
"34074",2013,1
"34082",2013,3
"34178",2013,44
"34242",2011,25
"34372",2013,11
"34432",2013,21
"34563",2013,28
"34565",2013,14
