"","Jahr","TagezumStichtag"
"73839",2017,140
"73924",2016,5
"73936",2016,67
"73991",2016,6
"74053",2017,110
"74107",2016,228
"74220",2016,11
"74235",2017,32
"74244",2017,10
"74275",2016,12
"74323",2016,215
"74325",2016,22
"74360",2016,149
"74525",2016,32
"74630",2016,39
"74655",2016,33
"74711",2016,38
"74726",2016,7
"74747",2016,251
"74772",2016,185
"74782",2017,46
"74792",2017,15
"74794",2017,25
"74834",2016,98
"74847",2016,4
"74862",2017,329
"74923",2017,236
"74966",2016,8
"74978",2016,32
"75034",2017,53
"75045",2017,7
"75081",2017,16
"75113",2016,21
"75127",2016,175
"75134",2016,267
"75140",2017,2
"75167",2017,103
"75173",2017,10
"75197",2017,40
"75259",2016,26
"75262",2016,1
"75279",2017,133
"75296",2017,19
"75302",2017,7
"75320",2017,137
"75321",2017,72
"75327",2017,107
"75376",2017,10
"75409",2016,35
"75439",2017,64
"75462",2017,13
"75491",2017,80
"75519",2017,25
"75525",2016,60
"75587",2017,31
"75619",2017,70
"75626",2017,6
"75658",2017,65
"75677",2016,158
"75679",2016,6
"75697",2016,98
"75705",2016,39
"75708",2016,41
"75760",2017,23
"75774",2014,4
"75787",2015,13
"75798",2015,69
"75845",2016,3
"75855",2016,36
"75872",2017,38
"75888",2017,7
"75929",2016,1
"75934",2016,88
"75943",2016,97
"76012",2017,16
"76016",2017,16
"76039",2017,60
"76063",2017,13
"76073",2017,31
"76080",2017,45
"76146",2016,21
"76154",2016,1
"76158",2016,3
"76212",2017,26
"76531",2017,167
"76562",2017,52
"76565",2017,24
"76581",2017,33
"76602",2017,76
"76623",2017,38
"76676",2017,147
"76689",2017,64
"76714",2017,76
"76731",2017,91
"76752",2017,172
"76774",2017,19
"76783",2017,144
"76788",2017,49
"76797",2017,162
"76798",2017,171
"76803",2017,102
"76830",2015,94
"76876",2017,34
"76881",2017,19
"76890",2017,158
"76891",2017,158
"76898",2017,71
"76927",2017,13
"76940",2017,12
"76984",2017,2
"76987",2017,19
"76995",2017,9
"77064",2016,56
"77103",2017,102
"77135",2015,6
"77166",2017,30
"77167",2017,60
"77172",2017,43
"77216",2017,18
"77260",2017,24
"77274",2018,107
"77308",2018,47
"77388",2015,128
"77409",2016,25
"77435",2016,78
"77439",2016,12
"77448",2016,59
"77463",2018,251
"77467",2018,22
"77470",2018,137
"77487",2018,38
"77491",2018,163
"77510",2017,14
"77533",2017,372
"77549",2015,110
"77605",2016,47
"77612",2016,4
"77615",2016,77
"77617",2016,111
"77650",2018,173
"77658",2018,53
"77665",2018,50
"77666",2018,79
"77673",2018,1
"77684",2018,90
"77695",2017,110
"77699",2017,4
"77711",2017,40
"77713",2017,42
"77744",2018,46
"77778",2018,33
"77801",2017,40
"77812",2017,58
"77835",2017,3
"77842",2019,37
"77858",2018,32
"77861",2018,35
"77902",2016,79
"77911",2016,266
"77929",2016,86
"77975",2017,172
"78038",2018,26
"78045",2018,71
"78050",2018,193
"78062",2018,36
"78065",2018,55
"78066",2018,22
"78075",2018,4
"78079",2018,81
"78141",2015,5
"78152",2015,8
"78175",2015,99
"78213",2017,144
"78251",2017,45
"78299",2015,78
"78413",2017,42
"78414",2017,2
"78452",2017,24
"78472",2017,39
"78502",2015,1
"78558",2017,92
"78587",2017,4
"78633",2018,54
"78665",2018,15
"78667",2018,19
"78686",2015,68
"78703",2015,38
"78765",2017,22
"78918",2017,79
"78926",2017,100
"78943",2019,9
"78973",2015,2
"78998",2015,35
"79008",2015,25
"79029",2018,10
"79046",2018,13
"79068",2017,12
"79074",2017,4
"79092",2017,89
"79111",2016,173
"79208",2015,88
"79225",2015,99
"79227",2015,30
"79230",2015,77
"79306",2017,6
"79315",2017,11
"79357",2017,13
"79369",2017,137
"79408",2016,13
"79411",2016,28
"79469",2015,52
"79524",2017,9
"79555",2017,4
"79571",2017,11
"79614",2016,3
"79640",2015,434
"79662",2015,96
"79787",2017,6
"79802",2017,8
"79807",2017,47
"79838",2016,29
"79874",2016,57
"79946",2018,2
"79964",2018,52
"79966",2018,53
"79979",2017,118
"79988",2018,6
"80005",2017,37
"80048",2016,135
"80080",2017,2
"80087",2017,13
"80088",2017,45
"80094",2017,13
"80098",2017,4
"80116",2017,23
"80182",2017,86
"80183",2017,21
"80191",2017,53
"80201",2017,106
"80244",2015,14
"80247",2015,14
"80326",2017,88
"80355",2017,94
"80357",2017,21
"80365",2017,13
"80377",2018,80
"80424",2017,19
"80475",2015,53
"80505",2015,1
"80540",2016,16
"80550",2016,23
"80573",2017,40
"80582",2017,44
"80588",2017,30
"80589",2017,16
"80590",2017,31
"80591",2017,32
"80614",2017,24
"80619",2017,11
"80651",2017,34
"80683",2018,39
"80692",2018,18
"80699",2018,17
"80731",2015,92
"80733",2015,16
"80752",2015,129
"80784",2017,4
"80808",2016,22
"80811",2016,71
"80825",2016,14
"80855",2017,6
"80879",2017,59
"80886",2017,127
"80887",2017,129
"80919",2018,105
"80943",2018,103
"80996",2015,28
"81080",2017,33
"81084",2017,89
"81085",2017,8
"81156",2018,70
"81193",2015,1
"81262",2016,57
"81295",2017,4
"81309",2017,352
"81342",2018,8
"81345",2018,89
"81347",2018,58
"81351",2018,80
"81361",2018,61
"81362",2018,43
"81363",2018,122
"81515",2015,38
"81568",2017,11
"81588",2018,97
"81589",2018,29
"81654",2016,140
"81677",2015,16
"81679",2015,50
"81704",2015,44
"81724",2018,1
"81731",2018,52
"81733",2018,59
"81735",2018,87
"81736",2018,4
"81759",2018,56
"81776",2016,221
"81791",2016,21
"81805",2016,7
"81831",2017,4
"81838",2017,40
"81839",2017,20
"81847",2017,12
"81854",2017,53
"81956",2015,59
"81963",2018,54
"81972",2018,23
"81978",2018,149
"81979",2018,83
"82031",2016,61
"82047",2016,27
"82086",2017,29
"82094",2017,15
"82098",2017,22
"82110",2015,164
"82111",2015,5
"82145",2015,102
"82185",2018,39
"82268",2015,23
"82299",2017,12
"82415",2015,9
"82424",2015,9
"82437",2018,185
"82439",2018,75
"82444",2018,194
"82477",2018,17
"82495",2017,171
"82517",2017,104
"82577",2016,20
"82607",2018,7
"82610",2018,133
"82628",2018,38
"82671",2017,62
"82687",2016,41
"82728",2017,24
"82738",2017,9
"82750",2017,8
"82762",2017,39
"82839",2018,37
"82844",2018,68
"82878",2017,139
"82938",2017,50
"82944",2017,45
"83007",2015,1
"83012",2018,56
"83013",2018,20
"83014",2018,51
"83029",2018,25
"83031",2018,158
"83034",2018,32
"83079",2017,116
"83082",2017,13
"83122",2015,56
"83125",2015,29
"83142",2015,71
"83210",2017,19
"83246",2017,60
"83264",2018,46
"83273",2018,34
"83276",2018,325
"83278",2018,17
"83281",2018,57
"83384",2017,15
"83441",2018,40
"83442",2018,57
"83460",2018,18
"83467",2018,27
"83484",2018,22
"83532",2017,9
"83559",2017,89
"83658",2015,126
"83676",2015,2
"83693",2018,80
"83707",2018,75
"83718",2018,49
"83737",2015,3
"83812",2017,67
"83819",2017,11
"83821",2017,49
"83834",2018,14
"83840",2018,104
"83849",2018,38
"83857",2018,235
"83858",2018,27
"83904",2017,22
"83923",2018,38
"83957",2018,284
"83959",2018,4
"84003",2016,24
"84085",2018,94
"84091",2018,56
"84101",2018,21
"84185",2017,63
"84197",2017,33
"84215",2015,3
"84254",2015,183
"84397",2018,34
"84479",2018,71
"84483",2018,20
"84519",2015,13
"84533",2015,31
"84539",2015,128
"84579",2015,38
"84618",2017,33
"84621",2017,10
"84632",2017,23
"84658",2017,35
"84699",2015,29
"84722",2015,8
"84770",2017,47
"84777",2017,3
"84788",2017,28
"84891",2017,160
"84947",2018,4
"84979",2017,84
"85005",2017,39
"85018",2017,9
"85052",2018,118
"85053",2018,242
"85073",2018,9
"85082",2017,18
"85104",2017,31
"85109",2017,25
"85112",2017,31
"85136",2017,14
"85195",2018,9
"85200",2018,38
"85204",2018,74
"85241",2017,20
"85245",2017,31
"85262",2017,62
"85264",2017,24
"85290",2017,56
"85351",2018,34
"85405",2017,15
"85407",2017,50
"85408",2018,9
"85409",2018,9
"85535",2016,19
"85556",2016,24
"85560",2016,28
"85574",2018,52
"85584",2018,88
"85615",2018,113
"85630",2018,17
"85651",2018,31
"85664",2015,18
"85665",2015,7
"85719",2017,40
"85772",2018,29
"85822",2018,85
"85948",2018,8
"85950",2018,13
"86009",2015,63
"86057",2018,73
"86058",2018,73
"86074",2018,28
"86094",2018,48
"86114",2018,31
"86144",2015,18
"86150",2015,3
"86200",2017,65
"86207",2017,285
"86324",2018,66
"86338",2018,61
"86363",2018,14
"86389",2017,95
"86397",2017,17
"86407",2017,9
"86466",2016,2
"86494",2018,69
"86503",2018,56
"86511",2018,59
"86512",2018,29
"86543",2018,20
"86632",2017,4
"86635",2017,4
"86695",2018,96
"86706",2018,10
"86762",2017,14
"86769",2017,14
"86825",2018,38
"86833",2018,18
"86835",2018,21
"86851",2018,42
"86852",2018,29
"86876",2016,44
"86952",2017,59
"87005",2018,161
"87026",2018,12
"87027",2018,12
"87030",2018,1
"87047",2016,79
"87048",2016,56
"87060",2016,10
"87097",2017,4
"87104",2017,17
"87134",2017,5
"87136",2017,5
"87171",2018,21
"87219",2016,29
"87236",2016,175
"87274",2017,3
"87286",2018,29
"87309",2018,82
"87321",2018,32
"87325",2018,32
"87337",2016,7
"87367",2016,10
"87396",2017,3
"87403",2017,41
"87406",2017,22
"87410",2017,25
"87436",2018,29
"87437",2018,55
"87491",2018,41
"87500",2018,17
"87514",2018,151
"87534",2016,17
"87574",2017,65
"87596",2017,16
"87612",2017,34
"87618",2017,56
"87640",2018,37
"87655",2018,77
"87675",2016,54
"87677",2016,55
"87703",2016,10
"87721",2017,3
"87726",2017,147
"87808",2018,6
"87813",2018,15
"87819",2016,21
"87823",2016,87
"87834",2016,29
"87864",2017,5
"87909",2017,6
"87941",2016,117
"87947",2016,37
"87948",2016,224
"87974",2017,136
"87982",2017,5
"87994",2017,145
"88001",2017,141
"88009",2017,6
"88051",2018,9
"88066",2016,30
"88067",2016,25
"88085",2016,47
"88128",2017,27
"88158",2018,108
"88163",2018,48
"88169",2018,16
"88171",2018,39
"88178",2018,43
"88188",2019,35
"88189",2019,42
"88195",2019,34
"88240",2018,53
"88242",2018,291
"88292",2017,8
"88325",2018,16
"88330",2018,151
"88347",2019,100
"88359",2019,61
"88365",2019,173
"88366",2019,58
"88371",2019,7
"88382",2019,34
"88385",2019,18
"88512",2016,77
"88532",2016,7
"88539",2017,29
"88576",2017,74
"88605",2018,50
"88622",2018,37
"88624",2018,153
"88628",2018,59
"88665",2018,26
"88685",2016,3
"88695",2016,113
"88716",2016,201
"88746",2017,5
"88778",2018,32
"88787",2018,55
"88791",2018,74
"88799",2018,28
"88838",2018,17
"88841",2018,47
"88842",2018,16
"88853",2018,70
"88872",2017,114
"88883",2017,22
"88912",2017,58
"88946",2018,98
"88983",2017,100
"89005",2017,46
"89033",2018,74
"89039",2018,20
"89041",2018,13
"89055",2018,20
"89071",2018,35
"89091",2018,58
"89092",2018,23
"89100",2018,47
"89105",2018,34
"89142",2017,80
"89146",2017,130
"89161",2017,6
"89176",2018,35
"89190",2018,59
"89221",2019,129
"89230",2019,7
"89239",2019,1
"89242",2019,70
"89245",2019,34
"89258",2019,35
"89281",2018,2
"89284",2018,92
"89288",2018,19
"89298",2018,12
"89337",2017,16
"89387",2018,31
"89406",2019,41
"89410",2019,11
"89431",2019,4
"89468",2018,24
"89488",2018,21
"89504",2017,4
"89512",2017,23
"89559",2018,15
"89588",2018,57
"89626",2019,57
"89635",2019,47
"89646",2019,328
"89680",2018,25
"89706",2017,37
"89722",2017,23
"89764",2017,41
"89769",2017,12
"89770",2017,106
"89781",2017,37
"89820",2016,243
"89824",2016,227
"89882",2019,26
"89909",2018,11
"89937",2018,121
"89998",2018,11
"90009",2018,74
"90011",2018,14
"90022",2018,187
"90045",2019,33
"90057",2019,55
"90058",2019,106
"90059",2019,96
"90063",2019,81
"90070",2019,103
"90145",2016,134
"90149",2016,12
"90159",2016,2
"90181",2018,7
"90193",2018,74
"90221",2018,118
"90224",2018,44
"90226",2018,7
"90253",2019,174
"90283",2018,20
"90299",2018,4
"90337",2017,3
"90362",2017,65
"90379",2016,252
"90446",2019,13
"90459",2019,68
"90482",2016,18
"90489",2016,37
"90623",2018,130
"90634",2018,14
"90648",2018,25
"90678",2018,68
"90698",2018,128
"90700",2018,28
"90703",2018,71
"90711",2019,21
"90805",2018,140
"90822",2018,31
"90840",2018,257
"90848",2018,4
"90852",2018,2
"90862",2018,107
"90866",2018,117
"90871",2018,8
"90874",2018,222
"90880",2018,2
"90900",2019,73
"90920",2019,95
"90926",2019,38
"90940",2019,9
"91025",2018,11
"91042",2018,58
"91043",2018,16
"91052",2018,12
"91126",2019,54
"91128",2019,54
"91131",2019,134
"91207",2016,121
"91212",2016,18
"91227",2016,95
"91257",2018,53
"91267",2018,204
"91268",2018,25
"91300",2018,9
"91314",2018,80
"91345",2017,46
"91416",2016,24
"91418",2016,43
"91435",2018,2
"91458",2018,158
"91472",2018,120
"91497",2017,7
"91514",2017,45
"91533",2018,18
"91583",2017,107
"91626",2018,56
"91640",2018,99
"91651",2018,6
"91653",2018,13
"91655",2018,3
"91673",2017,52
"91719",2018,90
"91720",2018,1
"91732",2018,127
"91757",2018,13
"91781",2017,7
"91788",2017,34
"91791",2017,6
"91805",2017,64
"91828",2018,38
"91835",2018,88
"91847",2018,10
"91848",2018,38
"91900",2016,5
"91964",2017,4
"91984",2018,102
"92000",2018,25
"92012",2018,1
"92037",2016,47
"92077",2018,20
"92085",2018,40
"92207",2018,139
"92225",2016,65
"92229",2016,29
"92239",2016,19
"92299",2018,77
"92320",2016,30
"92323",2016,52
"92328",2016,14
"92343",2016,79
"92363",2017,18
"92387",2017,111
"92404",2017,95
"92418",2018,8
"92429",2018,37
"92453",2018,67
"92486",2016,59
"92487",2016,162
"92519",2018,96
"92579",2016,6
"92582",2016,99
"92590",2016,21
"92624",2018,18
"92625",2018,46
"92629",2018,22
"92637",2018,31
"92646",2018,7
"92663",2018,5
"92703",2016,87
"92709",2016,127
"92716",2016,36
"92739",2016,39
"92766",2018,72
"92777",2018,218
"92831",2017,6
"92832",2017,13
"92857",2018,25
"92868",2018,7
"92871",2018,11
"92874",2018,20
"92899",2018,147
"92932",2018,24
"92953",2018,6
"92955",2018,39
"92963",2018,33
"92975",2018,6
"92977",2019,238
"92989",2018,17
"93061",2018,17
"93075",2018,25
"93083",2018,24
"93138",2018,86
"93157",2018,49
"93240",2018,13
"93264",2018,16
"93268",2018,24
"93291",2018,105
"93295",2018,16
"93361",2016,91
"93368",2016,79
"93439",2017,6
"93474",2017,20
"93489",2018,20
"93519",2018,36
"93569",2018,51
"93582",2018,54
"93621",2018,19
"93771",2018,66
"93781",2018,25
"93846",2018,82
"93877",2017,194
"93905",2018,12
"93913",2018,30
"93932",2018,2
"93972",2018,21
"94010",2017,167
"94039",2017,1
"94041",2017,30
"94042",2017,192
"94059",2018,15
"94066",2018,14
"94073",2018,91
"94076",2018,56
"94088",2018,52
"94091",2018,20
"94123",2018,17
"94141",2018,47
"94155",2017,47
"94158",2017,10
"94160",2017,32
"94166",2017,67
"94228",2018,63
"94231",2018,40
"94324",2017,43
"94360",2018,15
"94369",2018,13
"94395",2018,22
"94436",2017,43
"94446",2017,39
"94450",2017,88
"94503",2018,4
"94581",2017,46
"94592",2017,25
"94594",2017,29
"94671",2018,31
"94708",2018,4
"94744",2017,7
"94745",2017,7
"94778",2018,64
"94824",2018,40
"94881",2018,54
"94889",2018,105
"94962",2018,121
"94990",2018,5
"94995",2018,39
"95014",2019,50
"95032",2019,47
"95038",2019,27
"95139",2018,65
"95149",2018,114
"95152",2018,112
"95156",2019,20
"95165",2019,60
"95171",2019,38
"95176",2019,113
"95185",2019,33
"95188",2019,145
"95199",2019,7
"95236",2017,15
"95239",2017,128
"95269",2016,59
"95285",2016,31
"95303",2018,21
"95329",2018,280
"95383",2017,32
"95384",2017,32
"95397",2016,212
"95407",2016,13
"95415",2016,3
"95445",2016,8
"95470",2018,10
"95474",2018,40
"95489",2018,232
"95504",2017,17
"95508",2017,24
"95513",2017,2
"95542",2017,31
"95585",2016,35
"95612",2018,238
"95632",2018,7
"95662",2017,2
"95729",2016,64
"95736",2016,4
"95747",2018,49
"95750",2018,16
"95756",2018,17
"95773",2018,20
"95776",2018,57
"95786",2018,185
"95798",2018,66
"95819",2018,55
"95824",2018,13
"95832",2018,69
"95843",2016,166
"95891",2018,129
"95921",2018,159
"95937",2018,120
"95945",2018,102
"95958",2018,5
"95966",2018,25
"95971",2018,7
"96056",2018,33
"96077",2019,89
"96080",2019,54
"96087",2019,23
"96109",2019,28
"96111",2019,4
"96115",2019,53
"96129",2018,25
"96130",2018,25
"96139",2018,6
"96202",2018,10
"96204",2018,4
"96205",2018,116
"96210",2018,170
"96224",2016,27
"96242",2016,238
"96270",2019,1
"96294",2019,93
"96349",2018,89
"96362",2016,38
"96400",2018,35
"96422",2018,25
"96427",2018,35
"96442",2018,291
"96447",2019,56
"96470",2019,4
"96471",2019,20
"96516",2019,46
"96524",2019,109
"96529",2019,28
"96536",2019,126
"96558",2018,1
"96564",2018,11
"96572",2018,13
"96609",2019,34
"96635",2019,36
"96637",2019,31
"96642",2019,40
"96643",2019,29
"96646",2019,50
"96683",2019,91
"96690",2019,25
"96698",2019,55
"96706",2019,15
"96714",2019,132
"96715",2019,26
"96734",2018,36
"96794",2019,25
"96805",2019,57
"96827",2019,95
"96837",2019,67
"96840",2019,44
"96862",2019,4
"96915",2018,33
"96920",2019,22
"96925",2019,106
"96945",2019,64
"96946",2019,64
"96978",2019,66
"97014",2019,37
"97034",2018,17
"97040",2018,52
"97062",2018,56
"97135",2019,5
"97214",2019,18
"97234",2019,16
"97253",2019,60
"97268",2018,21
"97289",2018,7
"97294",2018,23
"97323",2016,90
"97328",2016,80
"97332",2016,153
"97333",2016,9
"97356",2019,14
"97359",2019,82
"97369",2019,183
"97377",2019,21
"97380",2019,76
"97432",2018,23
"97464",2019,41
"97471",2019,28
"97472",2019,3
"97480",2019,9
"97482",2019,49
"97536",2019,35
"97545",2019,20
"97579",2018,13
"97582",2018,34
"97618",2019,33
"97653",2019,69
"97668",2019,85
"97672",2019,15
"97682",2019,43
"97697",2018,38
"97741",2018,233
"97745",2016,22
"97752",2016,32
"97803",2019,32
"97805",2019,62
"97855",2018,58
"97858",2018,9
"97882",2018,76
"97908",2016,2
"97915",2016,157
"97965",2019,6
"97989",2019,92
"98000",2019,111
"98004",2019,19
"98008",2019,104
"98015",2019,47
"98059",2019,168
"98078",2019,19
"98125",2016,117
"98148",2018,17
"98256",2019,16
"98257",2019,54
"98275",2019,60
"98277",2019,36
"98294",2019,14
"98357",2018,21
"98367",2018,62
"98426",2019,6
"98432",2019,31
"98439",2019,12
"98447",2019,16
"98450",2019,83
"98470",2018,36
"98518",2018,17
"98519",2018,70
"98527",2019,38
"98539",2019,130
"98542",2019,81
"98563",2019,30
"98587",2016,73
"98633",2019,38
"98639",2019,51
"98646",2019,37
"98678",2018,15
"98682",2018,39
"98689",2018,94
"98725",2019,34
"98745",2019,1
"98775",2016,103
"98804",2018,38
"98834",2018,243
"98853",2019,72
"98859",2019,2
"98875",2019,84
"98878",2019,37
"98917",2019,15
"98918",2019,50
"98938",2019,13
"98942",2019,65
"98944",2019,47
"98984",2017,3
"99008",2019,95
"99014",2019,167
"99025",2019,45
"99030",2019,76
"99034",2019,14
"99058",2019,2
"99072",2019,7
"99150",2019,243
"99173",2019,44
"99185",2019,152
"99201",2019,25
"99205",2019,66
"99206",2019,45
"99220",2019,44
"99236",2017,113
"99244",2017,8
"99286",2019,1
"99287",2019,102
"99291",2019,82
"99308",2019,113
"99310",2019,40
"99314",2019,37
"99338",2019,38
"99339",2019,8
"99344",2019,99
"99347",2019,127
"99350",2019,395
"99356",2019,17
"99361",2019,116
"99363",2019,71
"99384",2017,132
"99395",2017,95
"99398",2017,14
"99419",2017,129
"99430",2019,15
"99433",2019,21
"99461",2019,24
"99472",2019,126
"99507",2019,186
"99528",2019,27
"99531",2019,6
"99536",2019,186
"99544",2019,4
"99551",2019,31
"99578",2017,28
"99624",2019,15
"99633",2019,23
"99670",2019,16
"99678",2019,166
"99684",2019,25
"99693",2019,27
"99697",2019,30
"99713",2019,5
"99716",2019,10
"99717",2019,32
"99736",2018,191
"99753",2018,137
"99754",2018,54
"99755",2018,47
"99766",2018,170
"99839",2017,46
"99849",2017,96
"99867",2019,8
"99869",2019,13
"99927",2018,4
"99932",2018,36
"99937",2018,70
"99964",2019,99
"99975",2019,42
"99979",2019,95
"99982",2019,74
"99996",2019,17
"100002",2019,39
"100035",2017,3
"100085",2019,3
"100108",2019,107
"100115",2019,85
"100150",2019,1
"100156",2019,103
"100178",2018,37
"100193",2018,87
"100205",2019,37
"100208",2019,107
"100225",2019,112
"100239",2019,47
"100261",2017,42
"100279",2017,346
"100308",2019,129
"100331",2019,56
"100385",2017,148
"100390",2019,25
"100393",2019,11
"100405",2019,93
"100409",2019,5
"100410",2019,21
"100422",2019,29
"100437",2019,232
"100476",2019,26
"100482",2019,91
"100491",2017,8
"100592",2019,22
"100610",2019,43
"100643",2017,2
"100747",2017,23
"100790",2019,2
"100794",2019,34
"100808",2019,132
"100833",2019,24
"100855",2019,34
"100857",2019,68
"100864",2019,175
"100912",2019,72
"100944",2017,26
"100961",2017,115
"100985",2019,17
"100991",2019,8
"101012",2019,77
"101028",2019,149
"101081",2019,38
"101088",2019,104
"101089",2019,8
"101093",2019,295
"101097",2019,8
"101156",2017,58
"101166",2019,41
"101193",2019,16
"101206",2019,47
"101252",2018,185
"101261",2018,14
"101263",2018,22
"101269",2018,137
"101270",2018,36
"101305",2017,31
"101334",2017,60
"101343",2019,38
"101374",2019,18
"101438",2017,248
"101507",2019,15
"101522",2019,30
"101564",2018,91
"101605",2019,24
"101612",2019,6
"101662",2017,28
"101668",2017,4
"101677",2018,62
"101678",2018,129
"101683",2018,28
"101710",2018,33
"101734",2019,43
"101746",2019,3
"101762",2019,127
"101812",2017,54
"101824",2019,75
"101883",2017,36
"101904",2017,34
"101922",2019,58
"101925",2019,15
"101951",2019,67
"101966",2019,114
"101968",2019,6
"101978",2019,46
"101984",2019,7
"102011",2017,86
"102029",2017,104
"102040",2017,35
"102078",2019,41
"102089",2019,6
"102092",2019,124
"102101",2019,21
"102172",2017,36
"102219",2019,28
"102235",2019,2
"102259",2019,37
"102282",2017,2
"102286",2017,16
"102296",2017,20
"102304",2017,15
"102310",2019,34
"102315",2019,35
"102316",2019,72
"102319",2019,30
"102321",2019,22
"102341",2019,58
"102351",2020,14
"102352",2019,90
"102354",2019,39
"102375",2019,1
"102402",2019,32
"102403",2019,19
"102462",2019,48
"102475",2019,77
"102482",2019,20
"102492",2019,2
"102518",2019,6
"102522",2019,34
"102532",2019,31
"102565",2019,32
"102589",2019,5
"102608",2019,15
"102615",2019,218
"102617",2019,47
"102618",2019,165
"102630",2019,9
"102631",2019,247
"102689",2019,95
"102700",2019,32
"102716",2019,48
"102717",2019,53
"102719",2019,50
"102720",2019,55
"102759",2019,44
"102789",2019,88
"102807",2019,61
"102818",2019,45
"102845",2019,34
"102856",2019,38
"102868",2019,7
"102878",2019,70
"102885",2019,41
"102948",2019,104
"102956",2019,1
"102959",2019,10
"102971",2019,191
"103003",2020,22
"103024",2020,43
"103026",2020,46
"103079",2017,57
"103088",2019,18
"103101",2019,36
"103115",2019,36
"103172",2019,29
"103175",2019,16
"103215",2018,28
"103264",2017,36
"103275",2017,51
"103281",2019,16
"103285",2019,58
"103298",2019,54
"103338",2019,66
"103372",2019,99
"103383",2018,4
"103431",2020,40
"103447",2020,2
"103455",2020,102
"103459",2020,12
"103473",2017,172
"103475",2017,34
"103515",2017,106
"103559",2019,20
"103568",2018,76
"103594",2018,114
"103596",2018,55
"103602",2018,63
"103626",2020,8
"103631",2020,47
"103632",2020,5
"103646",2020,46
"103658",2020,8
"103695",2017,17
"103707",2017,124
"103761",2018,141
"103782",2018,36
"103807",2018,26
"103827",2017,19
"103849",2017,7
"103863",2019,133
"103873",2019,13
"103908",2020,90
"103915",2020,8
"103942",2020,47
"103985",2018,78
"104012",2017,58
"104030",2017,57
"104045",2017,76
"104058",2019,16
"104062",2019,58
"104087",2019,2
"104095",2020,34
"104150",2018,24
"104151",2018,87
"104183",2018,249
"104205",2017,31
"104212",2017,65
"104231",2017,4
"104243",2019,13
"104251",2019,42
"104255",2019,20
"104274",2019,98
"104280",2019,35
"104281",2019,114
"104284",2019,19
"104299",2018,111
"104303",2018,63
"104304",2018,58
"104316",2018,23
"104317",2018,108
"104353",2020,147
"104356",2020,121
"104358",2020,26
"104359",2020,31
"104373",2020,65
"104374",2020,118
"104378",2020,129
"104382",2019,179
"104455",2017,11
"104462",2017,44
"104477",2017,113
"104482",2018,46
"104531",2019,44
"104548",2019,14
"104563",2019,82
"104586",2017,159
"104593",2017,52
"104611",2017,24
"104637",2021,18
"104650",2020,54
"104695",2018,98
"104707",2018,5
"104714",2018,184
"104735",2019,95
"104743",2019,11
"104757",2019,9
"104760",2019,15
"104761",2019,161
"104768",2019,3
"104774",2017,57
"104779",2017,43
"104783",2017,254
"104791",2017,39
"104814",2017,86
"104820",2020,28
"104853",2020,66
"104865",2018,5
"104871",2018,54
"104886",2018,1
"104895",2018,113
"104911",2018,257
"104912",2019,14
"104920",2019,42
"104940",2019,91
"104954",2019,181
"105010",2020,30
"105014",2020,50
"105027",2020,89
"105028",2020,12
"105033",2020,50
"105036",2020,48
"105041",2020,22
"105043",2020,74
"105046",2020,25
"105047",2020,161
"105054",2020,134
"105072",2018,24
"105149",2019,40
"105154",2019,7
"105176",2019,13
"105180",2018,2
"105182",2018,208
"105234",2017,407
"105236",2017,11
"105240",2017,191
"105266",2020,47
"105276",2020,88
"105281",2020,40
"105285",2020,121
"105287",2020,55
"105289",2020,16
"105291",2020,65
"105300",2020,17
"105323",2019,27
"105371",2019,49
"105397",2019,42
"105404",2018,49
"105410",2018,44
"105439",2018,46
"105464",2017,136
"105476",2017,77
"105486",2017,11
"105491",2017,74
"105502",2019,152
"105508",2019,554
"105510",2019,32
"105522",2019,26
"105531",2019,14
"105533",2019,60
"105546",2019,5
"105561",2018,20
"105582",2018,66
"105595",2018,53
"105604",2020,50
"105612",2020,23
"105655",2019,68
"105699",2017,5
"105753",2019,18
"105760",2019,41
"105761",2019,117
"105767",2019,43
"105771",2019,24
"105781",2019,137
"105782",2019,12
"105787",2019,43
"105791",2019,100
"105817",2018,57
"105832",2018,46
"105849",2020,68
"105876",2020,45
"105877",2020,57
"105909",2019,21
"105922",2019,21
"105949",2017,53
"105984",2017,28
"105989",2019,19
"105997",2019,19
"106025",2019,9
"106035",2019,84
"106052",2020,197
"106053",2020,39
"106063",2020,51
"106069",2020,101
"106070",2020,125
"106074",2020,30
"106079",2020,37
"106080",2020,92
"106087",2018,25
"106110",2018,96
"106114",2018,7
"106139",2019,99
"106157",2019,113
"106159",2019,70
"106189",2017,31
"106217",2017,35
"106259",2019,107
"106279",2019,297
"106289",2020,14
"106301",2020,83
"106304",2020,15
"106313",2020,4
"106330",2018,5
"106370",2018,208
"106377",2018,107
"106382",2019,10
"106384",2019,19
"106388",2019,6
"106398",2019,56
"106424",2019,154
"106532",2020,17
"106537",2020,103
"106552",2020,11
"106586",2019,68
"106629",2018,2
"106635",2018,60
"106645",2018,23
"106653",2018,18
"106677",2019,8
"106698",2019,1
"106701",2019,24
"106706",2019,113
"106733",2020,38
"106746",2020,145
"106751",2020,75
"106753",2020,67
"106756",2020,3
"106810",2019,103
"106840",2018,21
"106861",2018,90
"106867",2019,24
"106871",2019,33
"106928",2020,3
"106929",2020,12
